Pozicija;Numeris;Dalyvis;Klubas;Laikas
368;117;Petraitis Grigas;Kauno Bmk, Vilnius, Lietuva;1:54:52,8
369;62;Varapnickas Saulius;Kaunas, Lietuva;1:54:52,8
370;46;Jagminas Andrius;Statoil, Vilnius,Lietuva;1:55:13,4
371;18;Bertašavičius Laurynas;Kauno Maratono Klubas, Kaunas;1:55:13,4
372;138;Cibulskas Dalius;"""Bk """"Maratonas''"", Jonava";1:55:21,8
373;269;Bernotas Deividas;Jonavos BK Maratonas;1:55:21,8
374;52;Švėgžda Dainius;Kaščiukai, Radviliškis;1:55:34,0
375;72;Kriugžda Rolandas;Kaišiadorys Bėga, Kaišiadorys;1:55:34,0
376;75;Žiogas Giedrius;Kauno Maratono Klubas, Naujasodžio Km. Karmėlavos Sen.;1:55:35,6
377;71;Gorelčionka Tomas;F.O.C.U.S. Running, Lietuva;1:55:35,6
378;41;Pašvenskas Mindaugas;Runglorious Bastards, Vilnius;1:55:51,4
379;121;Vaitkevičius Andrius;Kauno Maratono Klubas, Kaunas;1:55:51,4
380;103;Mikučionis Nerijus;Pilėnai, Kaunas - Palanga;1:55:58,6
381;110;Lisauskas Simonas;Multisport Group, Vilnius;1:55:58,6
382;84;Pužas Donatas;F.O.C.U.S. Running, Vilnius;1:56:00,5
383;132;Balčiūnas Andrius;Kauno Bmk, Kaunas;1:56:00,5
384;96;Bieliauskas Mantautas;Runglorious Bastards, Vilnius, Lietuva;1:56:36,5
385;93;Kliukas Nerijus;F.O.C.U.S. Running, Lietuva;1:56:36,5
386;124;Šustauskas Egidijus;Kauno Maratono Klubas, Kaunas;1:56:49,3
387;65;Sakalauskas Andrius;Kauno Maratono Klubas, Kaunas;1:56:49,3
388;74;Daukša Valdas;Kauno Maratono Klubas, Kaunas;1:56:53,3
389;120;Kaminskas Dovydas;Tauragės Bmk, Tauragė, Lietuva;1:56:53,3
390;49;Čėsna Šarūnas;Kaisiadorysrun, Kaišiadorys, Lietuva;1:56:53,7
391;108;Jurkšaitis Andrius;Tauragė, Lietuva;1:56:53,7
392;87;Mikalonis Mindaugas;Šviesos Kariai, Vilnius, Lietuva;1:56:56,1
393;48;Boza Tomas;Kauno Bmk, Didžioji Britanija;1:56:56,1
394;16;Grigusevičius Andrius;Vilnius, Lietuva;1:57:33,6
395;59;Banys Marius;Anykščių Rajonas, Leliūnai;1:57:33,6
396;53;Mačys Andrius;Kaunas;1:57:34,6
397;129;Šlapelis Dangis;Kulautuva, Lietuva;1:57:34,6
398;30;Avižinis Paulius;Šviesos Kariai, Vilnius, Lietuva;1:57:40,8
399;77;Bimbiris Vaidas;Dragūnų Klubas, Klaipėda;1:57:40,8
400;245;Vaitkevičius Zigmantas ;CRANBALT;1:57:58,8
401;35;Ledakas Vytautas;Deryboslt Sek, Vilnius;1:57:58,8
402;38;Stankevičius Linas;Šiauliai;1:58:17,7
403;42;Kriauza Povilas;Kaunas;1:58:17,7
404;29;Sankauskas Dovydas;Ilginuotoliai.Lt, Vilnius;1:58:23,4
405;106;Steckis Darius;Klaipėda;1:58:23,4
406;66;Rinkevičius Saulius;Močiutės Šlepetės, Vilnius, Lietuva;1:59:42,9
407;25;Braciška Aurelijus;Vilnius;1:59:42,9
408;113;Songaila Ramūnas;Vilnius;1:59:52,4
409;37;Mickevičius Gintautas;Šiauliai,Lietuva;1:59:52,4
410;112;Račkauskas Svajūnas;Bėgimo Klubas, Šiauliai, Lietuva;2:00:31,0
411;19;Padegimas Ričardas;Windbrothers, Kaunas;2:00:31,0
412;15;Velička Žydrūnas;Robinzonada Adventure Team, Kauno R., Kulautuva;2:00:32,0
413;27;Bielčius Nerijus;Vilnius, Lietuva;2:00:32,0
414;102;Kazlauskas Tomas;Neko, Vilnius;2:00:32,0
415;50;Tumavičius Marius;"""Bk """"Maratonas''"", Jonava";2:00:32,0
416;45;Rimkus Rimas;Ind, Kaunas;2:02:01,5
417;32;Žibūda Tadas;Ovc Consulting, Vilnius;2:02:01,5
418;21;Kalėda Darius;Kauno Bmk, Kaunas, Lietuva;2:04:00,1
419;104;Gibavičius Karolis;Kauno Maratono Klubas, Kaunas, Lietuva;2:04:00,1
420;12;Tarasevičius Edvardas;Neveronys;2:04:26,7
421;10;Kybartas Marius;F.O.C.U.S. Running, Vilnius;2:04:26,7
422;33;Regelskis Rytis;Kauno Sanciu Sporto Ir Sveikatingumo Centras, Kaunas;2:04:32,4
423;99;Jocius Donatas;Kėdainiai;2:04:32,4
424;17;Krupinas Augis;Vilnius;2:05:13,9
425;20;Vaitkus Saulius;Mažeikiai;2:05:13,9
426;26;Nenartavičius Žydrūnas;Vilnius, Lietuva;2:05:20,7
427;85;Mažeika Viktoras;Kauno Bmk, Vilnius;2:05:20,7
428;265;Dirvonskas Tomas;Vilnius;2:05:46,2
429;115;Bendorius Artūras;Bendoriai, Vilnius;2:05:46,2
430;34;Strazdauskas Tomas;Lietuva, Šiauliai;2:05:46,3
431;243;Savičius Laimius ;Kaunas;2:05:46,3
432;133;Šapoka Romualdas;Vilnius, Lietuva;2:05:55,4
433;73;Vaičius Gintautas;Vilnius;2:05:55,4
434;81;Daugmaudis Vilhelmas;Siauliai;2:06:37,3
435;43;Vosylius Dainius;Palanga;2:06:37,3
436;135;Četrauskas Vainius;Vilnius, Klaipėda;2:07:57,8
437;264;Kisielius Donatas;Vilnius / Nida;2:07:57,8
438;76;Jonušas Andrius;Vilnius, Lietuva;2:08:19,7
439;78;Gudelionis Mantas;Vilnius, Lietuva;2:08:19,7
440;55;Asars Māﾁris;Liepaja, Latvia;2:08:37,3
441;51;Marchenko Dmitrii;Amberman, Kaliningrad;2:08:37,3
442;44;Šarūnas Tadas;Vilnius, Lietuva;2:08:37,4
443;266;Vyšniauskas Robertas;SEB, Vilnius;2:08:37,4
444;105;Dabrega Simonas;Bėgimo Klubas, Kaunas;2:08:37,5
445;128;Kuzma Pijus;Callcredit, Kaunas;2:08:37,5
446;68;Juodviršis Mindaugas;Bėgikai.Lt, Vilnius;2:10:01,0
447;67;Dapkevicius Andrius;Šviesos Kariai, Kaunas;2:10:01,0
448;268;Milašius Tadas;BK Šviesos kariai;2:10:13,1
449;114;Leščevski Kšyštof;Multisportas, Vilnius, Lietuva;2:10:13,1
450;22;Stripeika Egidijus;Šiauliai;2:10:14,8
451;58;Šiaulys Eitaras;Runglorious Bastards, Klaipėda;2:10:14,8
452;131;Razvanavičius Simonas;Rokiškis, Lietuva;2:11:11,1
453;109;Jegelevicius Justas;Vilnius;2:11:11,1
454;116;Karneckas Justas;Vilnius;2:12:44,6
455;47;Šaltys Justinas;Vilnius;2:12:44,6
456;107;Mažeika Donatas;Kaunas;2:15:06,5
457;122;Švajev Artūras;Klaipėda;2:15:06,5
458;244;Šiugžda Karolis ;CRANBALT;2:15:20,8
459;61;Daugmaudis Giedrius;Tamsta, Vilnius, Lietuva;2:15:20,8
460;39;Kleinas Andrius;Klubas: S+B, Vilnius;2:20:11,2
461;118;Sliekas Ramūnas;ind;2:20:11,2
462;140;Zalanskas Julius;Vilkynė, Lietuva;2:23:31,8
463;101;Pudžiuvelis Nerijus;Huracan, Vilnius, Lietuva;2:23:32,0
464;125;Poderis Vytautas;Kaunas, Lietuva;2:23:32,0
465;54;Avelis Nerijus;Teo, Klaipėda, Lietuva;2:27:52,6
466;69;Viršila Mindaugas;Teo, Klaipėda, Lietuva;2:27:52,6
467;134;Šitikovas Darius;Kaunas, Lietuva;2:41:21,3
468;92;Baniūnas Paulius;Lithuania;2:41:21,3
